"name","year","month","day","tmax","tmin","tobs","prcp","snow","snwd","awnd","wsf5"
"Oshkosh, WI",2010,1,1,19,10,10,0,0,5,9.62,25.1
"Oshkosh, WI",2010,1,2,19,-3,-3,0,0,5,8.28,19.9
"Oshkosh, WI",2010,1,3,8,-3,6,0,0,5,9.62,21
"Oshkosh, WI",2010,1,4,13,6,10,0,0,5,10.29,21.9
"Oshkosh, WI",2010,1,5,21,10,15,0,0,5,9.84,21.9
"Oshkosh, WI",2010,1,6,23,10,13,0,0,5,5.82,15
"Oshkosh, WI",2010,1,7,23,13,22,0.05,0.5,5,16.55,35.1
"Oshkosh, WI",2010,1,8,26,12,13,0.16,3,8,10.07,32
"Oshkosh, WI",2010,1,9,20,4,9,0,0,8,4.7,15
"Oshkosh, WI",2010,1,10,20,1,3,0,0,8,9.17,30
"Oshkosh, WI",2010,1,11,18,3,15,0,0,7,10.96,25.9
"Oshkosh, WI",2010,1,12,27,14,19,0,0,7,7.38,21
"Oshkosh, WI",2010,1,13,26,15,16,0,0,7,8.95,19.9
"Oshkosh, WI",2010,1,14,32,16,32,0,0,7,9.4,21.9
"Oshkosh, WI",2010,1,15,39,25,27,0,0,6,5.82,21
"Oshkosh, WI",2010,1,16,30,22,23,0,0,6,7.83,23
"Oshkosh, WI",2010,1,17,28,17,20,0,0,5,5.59,15
"Oshkosh, WI",2010,1,18,28,18,18,0,0,5,6.04,16.1
"Oshkosh, WI",2010,1,19,33,13,14,0,0,5,4.92,15
"Oshkosh, WI",2010,1,20,29,13,20,0,0,5,9.62,23
"Oshkosh, WI",2010,1,21,29,20,26,0,0,5,12.08,21.9
"Oshkosh, WI",2010,1,22,31,22,24,0,0,5,7.16,15
"Oshkosh, WI",2010,1,23,34,24,27,0,0,5,11.18,23.9
"Oshkosh, WI",2010,1,24,38,27,37,0.17,0,3,10.51,25.9
"Oshkosh, WI",2010,1,25,40,31,31,0.15,0,1,9.62,23
"Oshkosh, WI",2010,1,26,32,22,22,0.01,0.2,1,12.75,25.9
"Oshkosh, WI",2010,1,27,23,4,6,0,0,1,10.74,31.1
"Oshkosh, WI",2010,1,28,20,2,2,0,0,1,11.86,30
"Oshkosh, WI",2010,1,29,8,-2,-2,0,0,1,2.68,13
"Oshkosh, WI",2010,1,30,13,-2,3,0,0,1,2.01,13
"Oshkosh, WI",2010,1,31,22,3,9,0,0,1,7.16,23.9
"Oshkosh, WI",2010,2,1,20,5,8,0,0,1,2.01,6.9
"Oshkosh, WI",2010,2,2,21,8,21,0.04,0.6,2,4.92,10.1
"Oshkosh, WI",2010,2,3,29,18,18,0.1,2,3,5.37,15
"Oshkosh, WI",2010,2,4,27,15,26,0,0,2,4.7,13
"Oshkosh, WI",2010,2,5,32,26,28,0,0,2,12.3,31.1
"Oshkosh, WI",2010,2,6,34,19,19,0.01,0.1,2,14.99,29.1
"Oshkosh, WI",2010,2,7,25,18,20,0.01,0,2,4.03,15
"Oshkosh, WI",2010,2,8,28,20,21,0.01,0.1,2,6.93,21
"Oshkosh, WI",2010,2,9,28,21,21,0.15,3,5,18.12,36.9
"Oshkosh, WI",2010,2,10,25,19,19,0.12,2,7,11.18,23.9
"Oshkosh, WI",2010,2,11,31,7,8,0,0,6,4.92,12.1
"Oshkosh, WI",2010,2,12,24,2,3,0,0,6,4.47,12.1
"Oshkosh, WI",2010,2,13,28,3,11,0,0,6,6.93,14.1
"Oshkosh, WI",2010,2,14,32,10,13,0,0,6,6.71,15
"Oshkosh, WI",2010,2,15,26,12,17,0,0,5,8.95,19.9
"Oshkosh, WI",2010,2,16,29,17,19,0.08,1.2,6,10.51,25.1
"Oshkosh, WI",2010,2,17,32,19,27,0,0,6,8.05,18.1
"Oshkosh, WI",2010,2,18,37,19,19,0,0,5,6.71,16.1
"Oshkosh, WI",2010,2,19,37,11,14,0,0,5,4.47,10.1
"Oshkosh, WI",2010,2,20,38,14,26,0,0,4,2.91,8.9
"Oshkosh, WI",2010,2,21,35,19,23,0.02,0,4,4.92,14.1
"Oshkosh, WI",2010,2,22,33,23,30,0.08,0.5,4,9.17,21
"Oshkosh, WI",2010,2,23,34,16,22,0,0,5,4.92,17
"Oshkosh, WI",2010,2,24,35,20,20,0.05,1,6,13.87,29.1
"Oshkosh, WI",2010,2,25,28,7,9,0.05,1,7,8.5,17
"Oshkosh, WI",2010,2,26,29,9,15,0,0,6,11.41,28
"Oshkosh, WI",2010,2,27,37,15,26,0,0,6,10.96,21.9
"Oshkosh, WI",2010,2,28,40,26,30,0,0,6,9.62,21.9
"Oshkosh, WI",2010,3,1,34,24,25,0.02,0,6,4.92,18.1
"Oshkosh, WI",2010,3,2,37,21,23,0,0,5,5.14,16.1
"Oshkosh, WI",2010,3,3,36,13,17,0,0,5,3.8,15
"Oshkosh, WI",2010,3,4,40,15,17,0,0,4,2.46,12.1
"Oshkosh, WI",2010,3,5,40,14,16,0,0,4,1.79,8.9
"Oshkosh, WI",2010,3,6,42,16,20,0,0,3,4.03,10.1
"Oshkosh, WI",2010,3,7,43,20,22,0,0,3,1.12,8.1
"Oshkosh, WI",2010,3,8,51,22,29,0,0,3,3.13,21
"Oshkosh, WI",2010,3,9,53,29,33,0,0,3,4.92,13
"Oshkosh, WI",2010,3,10,46,33,40,0.09,0,0,5.82,14.1
"Oshkosh, WI",2010,3,11,42,37,40,0.04,0,0,6.04,18.1
"Oshkosh, WI",2010,3,12,46,38,41,0.34,0,0,7.61,25.1
"Oshkosh, WI",2010,3,13,45,37,38,0,0,0,17.9,31.1
"Oshkosh, WI",2010,3,14,45,37,42,0,0,0,12.53,25.9
"Oshkosh, WI",2010,3,15,56,33,33,0,0,0,6.26,18.1
"Oshkosh, WI",2010,3,16,57,30,30,0,0,0,2.68,12.1
"Oshkosh, WI",2010,3,17,61,28,31,0,0,0,3.58,13
"Oshkosh, WI",2010,3,18,60,31,41,0,0,0,6.49,23.9
"Oshkosh, WI",2010,3,19,65,41,46,0,0,0,8.95,23.9
"Oshkosh, WI",2010,3,20,50,28,28,0.04,0.3,0,8.95,25.9
"Oshkosh, WI",2010,3,21,39,26,27,0,0,0,2.46,13
"Oshkosh, WI",2010,3,22,47,27,28,0,0,0,6.04,17
"Oshkosh, WI",2010,3,23,51,28,35,0,0,0,2.91,12.1
"Oshkosh, WI",2010,3,24,54,35,35,0,0,0,3.58,14.1
"Oshkosh, WI",2010,3,25,56,35,37,0,0,0,12.08,30
"Oshkosh, WI",2010,3,26,37,20,26,0,0,0,6.93,18.1
"Oshkosh, WI",2010,3,27,42,26,32,0,0,0,4.92,21
"Oshkosh, WI",2010,3,28,47,25,36,0,0,0,8.5,23.9
"Oshkosh, WI",2010,3,29,48,26,27,0,0,0,5.37,15
"Oshkosh, WI",2010,3,30,48,27,37,0,0,0,16.55,38
"Oshkosh, WI",2010,3,31,65,37,53,0,0,0,12.75,33.1
"Oshkosh, WI",2010,4,1,75,49,51,0,0,0,8.5,32
"Oshkosh, WI",2010,4,2,83,51,63,0,0,0,17,44.1
"Oshkosh, WI",2010,4,3,79,53,54,0.03,0,0,11.63,32
"Oshkosh, WI",2010,4,4,60,45,45,0,0,0,13.87,46.1
"Oshkosh, WI",2010,4,5,72,45,47,0,0,0,6.93,25.1
"Oshkosh, WI",2010,4,6,67,47,48,0.22,0,0,13.2,36
"Oshkosh, WI",2010,4,7,53,44,45,1.52,0,0,16.78,38.9
"Oshkosh, WI",2010,4,8,48,31,31,0.6,2,2,12.75,30
"Oshkosh, WI",2010,4,9,37,27,29,0.01,0,0,5.82,18.1
