STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WSF2,WSF5
US1IASR0029,"AMES 2.5 W, IA US",9/27/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",9/28/13,,,,,0.04,,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",9/29/13,,,,,0.11,,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",9/30/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/1/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/2/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/4/13,,,,,1.73,,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/5/13,,,,,0.18,,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/6/13,,,,,0,,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/7/13,,,,,0.13,,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/8/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/9/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/10/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/11/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/12/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/13/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/14/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/15/13,,,,,0.47,,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/16/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/17/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/18/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/19/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/20/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/21/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/22/13,,,,,0.15,,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/23/13,,,,,0.11,,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/24/13,,,,,0.03,,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/25/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/26/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/27/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/28/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/29/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/30/13,,,,,0.01,,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",10/31/13,,,,,0.41,,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/1/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/4/13,,,,,0.11,,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/5/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/6/13,,,,,0.92,,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/7/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/8/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/9/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/10/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/11/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/12/13,,,,,0.03,,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/13/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/14/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/15/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/16/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/17/13,,,,,0.13,,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/18/13,,,,,0.11,,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/19/13,,,,,0,0,,,,,,,,,
US1IASR0029,"AMES 2.5 W, IA US",11/20/13,,,,,0.01,,,,,,,,,,
