STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00476330,"OSHKOSH, WI US",1/1/10,0,0,5,19,10,10
USC00476330,"OSHKOSH, WI US",1/2/10,0,0,5,19,-3,-3
USC00476330,"OSHKOSH, WI US",1/3/10,0,0,5,8,-3,6
USC00476330,"OSHKOSH, WI US",1/4/10,0,0,5,13,6,10
USC00476330,"OSHKOSH, WI US",1/5/10,0,0,5,21,10,15
USC00476330,"OSHKOSH, WI US",1/6/10,0,0,5,23,10,13
USC00476330,"OSHKOSH, WI US",1/7/10,0.05,0.5,5,23,13,22
USC00476330,"OSHKOSH, WI US",1/8/10,0.16,3,8,26,12,13
USC00476330,"OSHKOSH, WI US",1/9/10,0,0,8,20,4,9
USC00476330,"OSHKOSH, WI US",1/10/10,0,0,8,20,1,3
USC00476330,"OSHKOSH, WI US",1/11/10,0,0,7,18,3,15
USC00476330,"OSHKOSH, WI US",1/12/10,0,0,7,27,14,19
USC00476330,"OSHKOSH, WI US",1/13/10,0,0,7,26,15,16
USC00476330,"OSHKOSH, WI US",1/14/10,0,0,7,32,16,32
USC00476330,"OSHKOSH, WI US",1/15/10,0,0,6,39,25,27
USC00476330,"OSHKOSH, WI US",1/16/10,0,0,6,30,22,23
USC00476330,"OSHKOSH, WI US",1/17/10,0,0,5,28,17,20
USC00476330,"OSHKOSH, WI US",1/18/10,0,0,5,28,18,18
USC00476330,"OSHKOSH, WI US",1/19/10,0,0,5,33,13,14
USC00476330,"OSHKOSH, WI US",1/20/10,0,0,5,29,13,20
USC00476330,"OSHKOSH, WI US",1/21/10,0,0,5,29,20,26
USC00476330,"OSHKOSH, WI US",1/22/10,0,0,5,31,22,24
USC00476330,"OSHKOSH, WI US",1/23/10,0,0,5,34,24,27
USC00476330,"OSHKOSH, WI US",1/24/10,0.17,0,3,38,27,37
USC00476330,"OSHKOSH, WI US",1/25/10,0.15,0,1,40,31,31
USC00476330,"OSHKOSH, WI US",1/26/10,0.01,0.2,1,32,22,22
USC00476330,"OSHKOSH, WI US",1/27/10,0,0,1,23,4,6
USC00476330,"OSHKOSH, WI US",1/28/10,0,0,1,20,2,2
USC00476330,"OSHKOSH, WI US",1/29/10,0,0,1,8,-2,-2
USC00476330,"OSHKOSH, WI US",1/30/10,0,0,1,13,-2,3
USC00476330,"OSHKOSH, WI US",1/31/10,0,0,1,22,3,9
USC00476330,"OSHKOSH, WI US",2/1/10,0,0,1,20,5,8
USC00476330,"OSHKOSH, WI US",2/2/10,0.04,0.6,2,21,8,21
USC00476330,"OSHKOSH, WI US",2/3/10,0.1,2,3,29,18,18
USC00476330,"OSHKOSH, WI US",2/4/10,0,0,2,27,15,26
USC00476330,"OSHKOSH, WI US",2/5/10,0,0,2,32,26,28
USC00476330,"OSHKOSH, WI US",2/6/10,0.01,0.1,2,34,19,19
USC00476330,"OSHKOSH, WI US",2/7/10,0.01,0,2,25,18,20
USC00476330,"OSHKOSH, WI US",2/8/10,0.01,0.1,2,28,20,21
USC00476330,"OSHKOSH, WI US",2/9/10,0.15,3,5,28,21,21
USC00476330,"OSHKOSH, WI US",2/10/10,0.12,2,7,25,19,19
USC00476330,"OSHKOSH, WI US",2/11/10,0,0,6,31,7,8
USC00476330,"OSHKOSH, WI US",2/12/10,0,0,6,24,2,3
USC00476330,"OSHKOSH, WI US",2/13/10,0,0,6,28,3,11
USC00476330,"OSHKOSH, WI US",2/14/10,0,0,6,32,10,13
USC00476330,"OSHKOSH, WI US",2/15/10,0,0,5,26,12,17
USC00476330,"OSHKOSH, WI US",2/16/10,0.08,1.2,6,29,17,19
USC00476330,"OSHKOSH, WI US",2/17/10,0,0,6,32,19,27
USC00476330,"OSHKOSH, WI US",2/18/10,0,0,5,37,19,19
USC00476330,"OSHKOSH, WI US",2/19/10,0,0,5,37,11,14
USC00476330,"OSHKOSH, WI US",2/20/10,0,0,4,38,14,26
USC00476330,"OSHKOSH, WI US",2/21/10,0.02,0,4,35,19,23
USC00476330,"OSHKOSH, WI US",2/22/10,0.08,0.5,4,33,23,30
USC00476330,"OSHKOSH, WI US",2/23/10,0,0,5,34,16,22
USC00476330,"OSHKOSH, WI US",2/24/10,0.05,1,6,35,20,20
USC00476330,"OSHKOSH, WI US",2/25/10,0.05,1,7,28,7,9
USC00476330,"OSHKOSH, WI US",2/26/10,0,0,6,29,9,15
USC00476330,"OSHKOSH, WI US",2/27/10,0,0,6,37,15,26
USC00476330,"OSHKOSH, WI US",2/28/10,0,0,6,40,26,30
USC00476330,"OSHKOSH, WI US",3/1/10,0.02,0,6,34,24,25
USC00476330,"OSHKOSH, WI US",3/2/10,0,0,5,37,21,23
USC00476330,"OSHKOSH, WI US",3/3/10,0,0,5,36,13,17
USC00476330,"OSHKOSH, WI US",3/4/10,0,0,4,40,15,17
USC00476330,"OSHKOSH, WI US",3/5/10,0,0,4,40,14,16
USC00476330,"OSHKOSH, WI US",3/6/10,0,0,3,42,16,20
USC00476330,"OSHKOSH, WI US",3/7/10,0,0,3,43,20,22
USC00476330,"OSHKOSH, WI US",3/8/10,0,0,3,51,22,29
