"name","year","month","day","tmax","tmin","tobs","prcp","snow","snwd","awnd","wsf5"
"Oshkosh, WI",2010,1,27,23,4,6,0,0,1,10.74,31.1
"Oshkosh, WI",2011,1,27,25,19,19,0.02,0,7,5.82,16.1
"Oshkosh, WI",2012,1,27,35,25,25,0,0,4,9.4,23.9
"Oshkosh, WI",2013,1,27,25,3,25,0,0,2,9.62,21
"Oshkosh, WI",2014,1,27,15,-8,-8,0.01,0.1,8,13.87,32
"Oshkosh, WI",2015,1,27,26,16,25,0.15,2.1,2,3.58,11
"Oshkosh, WI",2016,1,27,30,22,23,0,0,9,12.75,36
"Oshkosh, WI",2017,1,27,35,23,24,0,0,4,9.4,25.9
"Oshkosh, WI",2018,1,27,48,35,35,0,0,0,8.95,28
"Oshkosh, WI",2019,1,27,4,-16,-9,0,NA,6,4.92,17
"Ames, IA",2010,1,27,15,6,15,0,0,8,10.51,30
"Ames, IA",2011,1,27,20,13,20,0,0,6,NA,NA
"Ames, IA",2012,1,27,41,25,26,0,0,0,NA,NA
"Ames, IA",2013,1,27,31,6,30,0.01,0,0,9.4,23
"Ames, IA",2014,1,27,44,-5,-5,0,0,0,14.32,38
"Ames, IA",2015,1,27,49,30,30,0,0,0,8.72,27.1
"Ames, IA",2016,1,27,28,18,19,0,0,2,12.3,25.9
"Ames, IA",2017,1,27,27,19,19,0,0,2,13.65,30
"Ames, IA",2018,1,27,54,28,28,0,0,0,8.5,25.1
"Ames, IA",2019,1,27,28,-5,-3,0.05,1,5.5,8.05,27.1
