Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19500504.19.1,Summary,5/4/50,21:00:00,3,Iowa,-,-,1,0,0,10,0.1,Mills,-,-,-,-,-,-,-,-,-,-,-,<$50,,40.95,-95.73,-,-,1,,75,Unmodified
19500508.19.2,Summary,5/8/50,19:20:00,3,Iowa,-,-,2,0,0,200,0.1,Montgomery,-,-,-,-,-,-,-,-,-,-,-,-,,41.03,-95.27,41.02,-95.22,1,,88,Unmodified
19500615.19.3,Summary,6/15/50,20:00:00,3,Iowa,-,-,3,0,5,300,5.6,Story,-,-,-,-,-,-,-,-,-,-,-,-,,41.98,-93.6,41.97,-93.48,1,,142,Unmodified
19500701.19.4,Summary,7/1/50,20:00:00,3,Iowa,-,-,2,0,0,10,14,Buchanan,-,-,-,-,-,-,-,-,-,-,-,-,,42.45,-91.92,-,-,1,,155,Unmodified
19510601.19.1,Summary,6/1/51,21:15:00,3,Iowa,-,-,3,0,7,880,1.5,Marshall,-,-,-,-,-,-,-,-,-,-,-,-,,42.07,-92.92,-,-,1,,104,Unmodified
19510619.19.2,Summary,6/19/51,16:00:00,3,Iowa,-,-,1,0,0,17,0.5,Lyon,-,-,-,-,-,-,-,-,-,-,-,-,,43.38,-96.25,-,-,1,,148,Unmodified
19510625.19.3,Summary,6/25/51,17:07:00,3,Iowa,-,-,2,0,8,500,0.8,Hancock,-,-,-,-,-,-,-,-,-,-,-,-,,43.22,-93.8,-,-,1,,167,Unmodified
19510717.19.4,Summary,7/17/51,17:45:00,3,Iowa,-,-,1,0,2,10,0.1,O'Brien,-,-,-,-,-,-,-,-,-,-,-,-,,43.18,-95.87,-,-,1,,193,Unmodified
19510826.19.5,Summary,8/26/51,23:59:00,3,Iowa,-,-,1,0,0,140,5.6,Plymouth,-,-,-,-,-,-,-,-,-,-,-,-,,42.85,-95.95,42.92,-95.87,1,,224,Unmodified
19520523.19.1,Summary,5/23/52,13:00:00,3,Iowa,-,-,2,0,0,17,0.1,Butler,-,-,-,-,-,-,-,-,-,-,-,-,,42.75,-92.97,-,-,1,,146,Unmodified
19520523.19.2,Summary,5/23/52,15:00:00,3,Iowa,-,-,1,0,0,10,0.1,Worth,-,-,-,-,-,-,-,-,-,-,-,-,,43.33,-93.08,-,-,1,,149,Unmodified
19520602.19.3,Summary,6/2/52,18:30:00,3,Iowa,-,-,2,0,1,100,2.3,Crawford,-,-,-,-,-,-,-,-,-,-,-,-,,41.9,-95.4,41.88,-95.33,1,,155,Unmodified
19520623.19.4,Summary,6/23/52,18:30:00,3,Iowa,-,-,4,0,4,400,24.1,Cherokee,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,42.75,-95.85,42.9,-95.42,1,,172,Unmodified
19520702.19.5,Summary,7/2/52,17:50:00,3,Iowa,-,-,1,0,0,10,0.1,Lyon,-,-,-,-,-,-,-,-,-,-,-,-,,43.4,-96.1,-,-,1,,192,Unmodified
19521117.19.6,Summary,11/17/52,13:20:00,3,Iowa,-,-,0,0,0,50,0.1,Muscatine,-,-,-,-,-,-,-,-,-,-,-,-,,41.55,-91.08,-,-,1,,235,Unmodified
19530321.19.1,Summary,3/21/53,12:45:00,3,Iowa,-,-,1,0,2,10,0.1,Woodbury,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,42.23,-95.68,-,-,1,,57,Unmodified
19530321.19.2,Summary,3/21/53,13:00:00,3,Iowa,-,-,1,0,0,600,10.9,Monona,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,42.05,-95.72,41.93,-95.87,1,,58,Unmodified
19530321.19.3,Summary,3/21/53,15:00:00,3,Iowa,-,-,3,0,0,400,31.8,Emmet,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,43.27,-94.63,43.3,-94,1,,60,Unmodified
19530321.19.4,Summary,3/21/53,17:00:00,3,Iowa,-,-,2,0,0,100,11.7,Tama,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,41.88,-92.62,42.05,-92.55,1,,62,Unmodified
19530424.19.5,Summary,4/24/53,17:00:00,3,Iowa,-,-,1,0,0,10,0.1,Iowa,-,-,-,-,-,-,-,-,-,-,-,-,,41.83,-91.95,-,-,1,,100,Unmodified
19530510.19.6,Summary,5/10/53,15:15:00,3,Iowa,-,-,4,0,0,10,6.4,Wayne,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,40.87,-93.33,40.93,-93.23,1,,152,Unmodified
19530510.19.7,Summary,5/10/53,16:10:00,3,Iowa,-,-,4,0,3,10,26.6,Hancock,Cerro Gordo,Worth,-,-,-,-,-,-,-,-,-,$50K-$500K,,43.07,-93.52,43.45,-93.38,1,,154,Unmodified
19530510.19.8,Summary,5/10/53,16:30:00,3,Iowa,-,-,2,0,0,10,0.1,Tama,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,41.88,-92.45,-,-,1,,155,Unmodified
19530510.19.9,Summary,5/10/53,17:30:00,3,Iowa,Minnesota,Wisconsin,4,2,24,100,162,Howard,Fillmore,Olmsted,Winona,Buffalo,Trempealeau,Eau Claire,Chippewa,Taylor,Price,-,-,-,,43.45,-92.4,45.5,-90.42,3,,157,Unmodified
19530510.19.9,State,5/10/53,17:30:00,3,Iowa,,,4,0,2,100,1.9,Howard,-,-,-,-,-,-,-,-,-,-,-,-,,43.45,-92.4,43.5,-92.38,3,,157,Unmodified
19530510.19.9,State,5/10/53,17:45:00,3,Minnesota,,,4,2,17,100,46.4,Fillmore,Olmsted,Winona,-,-,-,-,-,-,-,-,-,$500K-$5M,,43.5,-92.38,43.85,-91.85,3,,157,Unmodified
19530510.19.9,State,5/10/53,18:30:00,3,Wisconsin,,,4,0,5,100,113.7,Buffalo,Trempealeau,Eau Claire,Chippewa,Taylor,Price,-,-,-,-,-,-,$500K-$5M,,44.2,-91.85,45.5,-90.42,3,,157,Unmodified
19530510.19.10,Summary,5/10/53,18:00:00,3,Iowa,-,-,3,0,0,400,6.6,Clayton,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,42.95,-91.33,43.05,-91.28,1,,158,Unmodified
19530520.19.11,Summary,5/20/53,21:00:00,3,Iowa,-,-,3,1,0,400,116.1,Story,Hardin,Butler,Chickasaw,Howard,-,-,-,-,-,-,-,-,,42.15,-93.7,43.43,-92.32,1,,184,Unmodified
19530520.19.12,Summary,5/20/53,22:10:00,3,Iowa,-,-,3,0,7,400,38.6,Linn,Jones,-,-,-,-,-,-,-,-,-,-,-,,41.98,-91.57,42.08,-91.02,1,,185,Unmodified
19530524.19.13,Summary,5/24/53,6:45:00,3,Iowa,-,-,1,0,0,500,0.1,Iowa,-,-,-,-,-,-,-,-,-,-,-,-,,41.6,-92.1,-,-,1,,188,Unmodified
19530607.19.14,Summary,6/7/53,18:15:00,3,Iowa,-,-,2,0,0,200,11.3,Plymouth,-,-,-,-,-,-,-,-,-,-,-,-,,42.75,-96.6,42.87,-96.43,1,,255,Unmodified
19530607.19.15,Summary,6/7/53,19:30:00,3,Iowa,-,-,2,0,0,833,49.2,Ida,Sac,Pocahontas,Kossuth,-,-,-,-,-,-,-,-,-,,42.37,-95.48,43.22,-94.38,1,,260,Unmodified
19530607.19.16,Summary,6/7/53,21:00:00,3,Iowa,-,-,2,0,0,200,49,Webster,Hamilton,Wright,-,-,-,-,-,-,-,-,-,-,,42.3,-94.3,42.87,-93.75,1,,261,Unmodified
19530607.19.17,Summary,6/7/53,21:15:00,3,Iowa,-,-,3,0,0,200,30.7,Calhoun,Pocahontas,Humboldt,-,-,-,-,-,-,-,-,-,-,,42.55,-94.7,42.85,-94.25,1,,262,Unmodified
19530607.19.19,Summary,6/7/53,21:15:00,3,Iowa,-,-,2,0,0,200,116,Madison,Warren,Polk,Jasper,Poweshiek,Iowa,Johnson,-,-,-,-,-,-,,41.42,-93.92,41.87,-91.75,1,,263,Modified
19530607.19.18,Summary,6/7/53,21:30:00,3,Iowa,-,-,1,0,0,100,2.3,Boone,Hamilton,-,-,-,-,-,-,-,-,-,-,-,,42.17,-94.07,42.18,-94,1,,264,Unmodified
19530627.19.20,Summary,6/27/53,15:45:00,3,Iowa,-,-,5,1,2,100,0.1,Adair,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,41.45,-94.7,-,-,1,,318,Unmodified
19530627.19.21,Summary,6/27/53,16:45:00,3,Iowa,-,-,1,0,0,100,0.1,Montgomery,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,41.02,-95.08,-,-,1,,319,Unmodified
19530627.19.22,Summary,6/27/53,17:15:00,3,Iowa,-,-,1,0,2,100,0.1,Warren,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,41.38,-93.58,-,-,1,,320,Unmodified
19530627.19.23,Summary,6/27/53,20:00:00,3,Iowa,-,-,2,0,1,100,7.8,Mahaska,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,41.4,-92.6,41.33,-92.73,1,,321,Unmodified
19540405.29.17,Summary,4/5/54,17:00:00,3,Missouri,Iowa,-,4,0,2,900,6.3,Atchison,Page,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,40.55,-95.38,40.62,-95.27,2,,85,Unmodified
19540405.29.17,State,4/5/54,17:00:00,3,Missouri,,,4,0,0,900,3,Atchison,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,40.55,-95.38,40.58,-95.33,2,,85,Unmodified
19540405.29.17,State,4/5/54,17:20:00,3,Iowa,,,4,0,2,700,3.3,Page,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,40.58,-95.32,40.62,-95.27,2,,85,Unmodified
19540405.19.2,Summary,4/5/54,17:10:00,3,Iowa,-,-,2,0,1,880,5.1,Greene,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,42.03,-94.53,42.1,-94.47,1,,86,Unmodified
19540405.19.3,Summary,4/5/54,17:30:00,3,Iowa,-,-,3,0,0,667,5.2,Page,-,-,-,-,-,-,-,-,-,-,-,-,,40.6,-95.23,40.67,-95.17,1,,87,Unmodified
19540405.19.4,Summary,4/5/54,17:45:00,3,Iowa,-,-,2,0,0,333,11.5,Taylor,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,40.67,-94.88,40.72,-94.67,1,,88,Unmodified
19540405.19.5,Summary,4/5/54,18:15:00,3,Iowa,-,-,1,0,0,200,0.1,Taylor,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,40.68,-94.73,-,-,1,,89,Unmodified
19540426.19.6,Summary,4/26/54,17:23:00,3,Iowa,-,-,2,0,0,10,8.4,Clay,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,43.05,-95.3,42.97,-95.17,1,,139,Unmodified
19540426.19.7,Summary,4/26/54,19:30:00,3,Iowa,-,-,1,0,0,10,0.1,Scott,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,41.75,-90.88,-,-,1,,141,Unmodified
19540430.19.8,Summary,4/30/54,15:15:00,3,Iowa,-,-,2,0,1,200,85.2,Lee,Des Moines,Louisa,Muscatine,Cedar,-,-,-,-,-,-,-,$50K-$500K,,40.67,-91.5,41.83,-90.95,1,,186,Unmodified
19540430.19.9,Summary,4/30/54,19:00:00,3,Iowa,-,-,2,0,0,200,65.8,Iowa,Benton,Linn,Delaware,-,-,-,-,-,-,-,-,-,,41.67,-92,42.47,-91.3,1,,190,Unmodified
19540430.19.10,Summary,4/30/54,19:00:00,3,Iowa,-,-,4,0,0,200,80.4,Linn,Delaware,Clayton,Allamakee,-,-,-,-,-,-,-,-,-,,42.1,-91.75,43.18,-91.17,1,,191,Unmodified
19540430.19.12,Summary,4/30/54,19:05:00,3,Iowa,-,-,2,0,0,50,16.6,Jones,Delaware,Dubuque,-,-,-,-,-,-,-,-,-,-,,42.22,-91.2,42.45,-91.1,1,,192,Unmodified
19540430.19.11,Summary,4/30/54,19:30:00,3,Iowa,-,-,2,0,0,200,1,Buchanan,-,-,-,-,-,-,-,-,-,-,-,-,,42.63,-91.63,-,-,1,,193,Unmodified
19540523.19.13,Summary,5/23/54,18:00:00,3,Iowa,-,-,2,0,0,50,0.1,Mitchell,-,-,-,-,-,-,-,-,-,-,-,-,,43.28,-92.8,-,-,1,,252,Unmodified
19540523.19.14,Summary,5/23/54,20:15:00,3,Iowa,-,-,2,0,0,100,0.1,Linn,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,42.17,-91.67,-,-,1,,253,Unmodified
19540527.19.15,Summary,5/27/54,20:00:00,3,Iowa,-,-,2,0,0,200,2.3,Plymouth,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,42.82,-96.08,42.85,-96.03,1,,271,Unmodified
19540609.19.16,Summary,6/9/54,22:00:00,3,Iowa,-,-,4,1,0,440,9.9,Calhoun,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,42.28,-94.72,42.38,-94.57,1,,326,Unmodified
19540619.19.17,Summary,6/19/54,21:00:00,3,Iowa,-,-,2,0,0,880,2.3,Lyon,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,43.28,-96.3,43.25,-96.25,1,,379,Unmodified
19540822.19.18,Summary,8/22/54,15:30:00,3,Iowa,-,-,1,0,0,200,2.5,Clay,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,43.15,-95.32,-,-,1,,481,Unmodified
19550403.19.1,Summary,4/3/55,19:00:00,3,Iowa,-,-,1,0,0,440,0.5,Page,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,40.75,-95.03,-,-,1,,57,Unmodified
19550404.19.2,Summary,4/4/55,16:10:00,3,Iowa,-,-,2,0,0,440,11.6,Dallas,Boone,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,41.77,-93.98,41.93,-93.92,1,,59,Unmodified
19550419.19.3,Summary,4/19/55,17:30:00,3,Iowa,-,-,2,0,0,50,15.9,Jackson,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,42.27,-90.68,42.27,-90.37,1,,101,Unmodified
19550419.19.4,Summary,4/19/55,21:00:00,3,Iowa,-,-,1,0,0,100,1.3,Clay,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,43.12,-95.15,43.15,-95.12,1,,105,Unmodified
19550423.19.5,Summary,4/23/55,13:10:00,3,Iowa,-,-,2,0,0,30,1.5,Page,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,40.63,-95.23,-,-,1,,121,Unmodified
19550423.19.6,Summary,4/23/55,16:00:00,3,Iowa,-,-,3,0,0,440,5.4,Ringgold,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,40.72,-94.35,40.8,-94.32,1,,124,Unmodified
19550506.19.7,Summary,5/6/55,16:15:00,3,Iowa,-,-,2,0,0,200,15.5,Shelby,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,41.65,-95.32,41.8,-95.08,1,,155,Unmodified
19560426.19.1,Summary,4/26/56,22:30:00,3,Iowa,-,-,2,0,0,440,2.3,Tama,Benton,-,-,-,-,-,-,-,-,-,-,$500-$5000,,42,-92.33,42,-92.27,1,,148,Unmodified
19560529.19.2,Summary,5/29/56,5:00:00,3,Iowa,-,-,1,0,0,50,3.3,Humboldt,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,42.8,-94.25,42.83,-94.18,1,,229,Unmodified
19560529.19.3,Summary,5/29/56,17:30:00,3,Iowa,-,-,0,0,0,10,0.1,Linn,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,42.17,-91.55,-,-,1,,230,Unmodified
19560529.19.4,Summary,5/29/56,23:00:00,3,Iowa,-,-,2,0,0,50,3.3,Cass,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,41.35,-94.95,41.38,-94.88,1,,236,Unmodified
19560717.19.5,Summary,7/17/56,15:00:00,3,Iowa,-,-,2,0,1,200,2.3,Chickasaw,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,43.07,-92.27,43.03,-92.22,1,,367,Unmodified
